iter	Passed	Remaining
672	9826	4774
673	9841	4760
674	9857	4746
675	9873	4732
676	9889	4718
677	9905	4704
678	9922	4690
679	9936	4676
680	9952	4661
681	9967	4647
682	9982	4633
683	9998	4619
684	10013	4604
685	10028	4590
686	10044	4576
687	10060	4562
688	10073	4547
689	10087	4532
690	10100	4516
691	10114	4501
692	10127	4486
693	10142	4472
694	10156	4457
695	10171	4442
696	10186	4428
697	10205	4415
698	10220	4400
699	10235	4386
700	10250	4372
701	10265	4357
702	10279	4343
703	10295	4328
704	10310	4314
705	10326	4300
706	10342	4286
707	10359	4272
708	10374	4258
709	10390	4244
710	10406	4229
711	10422	4215
712	10439	4202
713	10455	4187
714	10470	4173
715	10485	4159
716	10506	4146
717	10521	4132
718	10537	4118
719	10553	4104
720	10569	4089
721	10585	4075
722	10602	4062
723	10620	4048
724	10638	4035
725	10653	4020
726	10668	4006
727	10684	3992
728	10700	3977
729	10715	3963
730	10730	3948
731	10745	3933
732	10760	3919
733	10774	3904
734	10793	3891
735	10811	3877
736	10825	3863
737	10841	3848
738	10855	3834
739	10869	3819
740	10885	3804
741	10899	3789
742	10914	3775
743	10933	3762
744	10950	3748
745	10966	3733
746	10981	3719
747	10996	3704
748	11011	3689
749	11026	3675
750	11042	3661
751	11056	3646
752	11073	3632
753	11087	3617
754	11101	3602
755	11116	3588
756	11131	3573
757	11146	3558
758	11160	3543
759	11174	3528
760	11189	3514
761	11206	3500
762	11220	3485
763	11235	3470
764	11250	3456
765	11267	3441
766	11282	3427
767	11297	3412
768	11310	3397
769	11326	3383
770	11347	3370
771	11361	3355
772	11378	3341
773	11392	3326
774	11406	3311
775	11415	3295
776	11423	3278
777	11431	3261
778	11446	3247
779	11459	3232
780	11470	3216
781	11480	3200
782	11487	3183
783	11493	3166
784	11499	3149
785	11506	3132
786	11511	3115
787	11517	3098
788	11522	3081
789	11527	3064
790	11532	3047
791	11538	3030
792	11545	3013
793	11551	2996
794	11556	2980
795	11562	2963
796	11567	2946
797	11573	2929
798	11578	2912
799	11584	2896
800	11589	2879
801	11595	2862
802	11601	2846
803	11608	2829
804	11614	2813
805	11620	2796
806	11624	2780
807	11629	2763
808	11635	2747
809	11640	2730
810	11647	2714
811	11655	2698
812	11670	2684
813	11687	2670
814	11698	2655
815	11709	2640
816	11722	2625
817	11731	2610
818	11738	2594
819	11744	2578
820	11756	2563
821	11768	2548
822	11773	2532
823	11780	2516
824	11786	2500
825	11792	2484
826	11800	2468
827	11806	2452
828	11812	2436
829	11818	2420
830	11823	2404
831	11828	2388
832	11834	2372
833	11839	2356
834	11844	2340
835	11849	2324
836	11854	2308
837	11860	2292
838	11866	2277
839	11871	2261
840	11877	2245
841	11882	2229
842	11887	2213
843	11894	2198
844	11899	2182
845	11904	2167
846	11910	2151
847	11916	2135
848	11922	2120
849	11929	2105
850	11936	2089
851	11944	2074
852	11951	2059
853	11959	2044
854	11967	2029
855	11974	2014
856	11981	1999
857	11988	1984
858	11995	1969
